,iter,q,qMC
0,0,0.04988792538642883,0.04988792538642883
1,1000,-0.02496185526251793,-0.02496185526251793
2,2000,-0.030408423393964767,-0.030408423393964767
3,3000,-0.03450855240225792,-0.03450855240225792
4,4000,-0.03128800541162491,-0.03128800541162491
5,5000,-0.03225484490394592,-0.03225484490394592
6,6000,-0.029062584042549133,-0.029062584042549133
7,7000,-0.028614314272999763,-0.028614314272999763
8,8000,-0.028064914047718048,-0.028064914047718048
9,9000,-0.027316780760884285,-0.027316780760884285
10,10000,-0.027349215000867844,-0.027349215000867844
11,11000,-1.2074490785598755,-1.2074490785598755
12,12000,2.316117286682129,2.316117286682129
13,13000,4.388744831085205,4.388744831085205
14,14000,9.222904205322266,9.222904205322266
15,15000,13.464935302734375,13.464935302734375
16,16000,15.040871620178223,15.040871620178223
17,17000,14.347077369689941,14.347077369689941
18,18000,21.278059005737305,21.278059005737305
19,19000,26.442182540893555,26.442182540893555
20,20000,30.600908279418945,30.600908279418945
21,21000,35.440452575683594,35.440452575683594
22,22000,38.064090728759766,38.064090728759766
23,23000,42.575172424316406,42.575172424316406
24,24000,45.32658386230469,45.32658386230469
25,25000,47.991455078125,47.991455078125
26,26000,46.49494171142578,46.49494171142578
27,27000,49.6391716003418,49.6391716003418
28,28000,49.98268508911133,49.98268508911133
29,29000,53.17060852050781,53.17060852050781
30,30000,55.002193450927734,55.002193450927734
31,31000,55.908992767333984,55.908992767333984
32,32000,58.63679504394531,58.63679504394531
33,33000,60.492401123046875,60.492401123046875
34,34000,62.86857604980469,62.86857604980469
35,35000,65.37664794921875,65.37664794921875
36,36000,67.7936019897461,67.7936019897461
37,37000,70.35973358154297,70.35973358154297
38,38000,72.99063110351562,72.99063110351562
39,39000,71.1457290649414,71.1457290649414
40,40000,71.47547149658203,71.47547149658203
41,41000,72.8722152709961,72.8722152709961
42,42000,73.69042205810547,73.69042205810547
43,43000,71.82787322998047,71.82787322998047
44,44000,72.37841033935547,72.37841033935547
45,45000,73.46395111083984,73.46395111083984
46,46000,71.50952911376953,71.50952911376953
47,47000,72.9472427368164,72.9472427368164
48,48000,74.37821197509766,74.37821197509766
49,49000,71.97899627685547,71.97899627685547
50,50000,72.41230773925781,72.41230773925781
51,51000,72.29812622070312,72.29812622070312
52,52000,71.04934692382812,71.04934692382812
53,53000,71.4977035522461,71.4977035522461
54,54000,70.99673461914062,70.99673461914062
55,55000,69.98609161376953,69.98609161376953
56,56000,69.9657211303711,69.9657211303711
57,57000,66.3695068359375,66.3695068359375
58,58000,67.3989486694336,67.3989486694336
59,59000,66.33509063720703,66.33509063720703
60,60000,65.77761840820312,65.77761840820312
61,61000,65.78703308105469,65.78703308105469
62,62000,65.55265808105469,65.55265808105469
63,63000,65.095703125,65.095703125
64,64000,65.98338317871094,65.98338317871094
65,65000,65.83452606201172,65.83452606201172
66,66000,62.63972473144531,62.63972473144531
67,67000,64.27696228027344,64.27696228027344
68,68000,66.02410888671875,66.02410888671875
69,69000,64.97206115722656,64.97206115722656
70,70000,64.22227478027344,64.22227478027344
71,71000,66.17280578613281,66.17280578613281
72,72000,65.9472427368164,65.9472427368164
73,73000,66.9089126586914,66.9089126586914
74,74000,67.20616149902344,67.20616149902344
75,75000,68.88343048095703,68.88343048095703
76,76000,68.6244125366211,68.6244125366211
77,77000,67.75221252441406,67.75221252441406
78,78000,66.91156005859375,66.91156005859375
79,79000,66.84161376953125,66.84161376953125
80,80000,68.7947769165039,68.7947769165039
81,81000,68.69756317138672,68.69756317138672
82,82000,68.83104705810547,68.83104705810547
83,83000,67.43257904052734,67.43257904052734
84,84000,68.84259033203125,68.84259033203125
85,85000,66.16462707519531,66.16462707519531
86,86000,70.06877136230469,70.06877136230469
87,87000,69.69001770019531,69.69001770019531
88,88000,66.6900863647461,66.6900863647461
89,89000,67.1473617553711,67.1473617553711
90,90000,70.82775115966797,70.82775115966797
91,91000,69.4764175415039,69.4764175415039
92,92000,70.00240325927734,70.00240325927734
93,93000,71.28215789794922,71.28215789794922
94,94000,71.07795715332031,71.07795715332031
95,95000,70.0493392944336,70.0493392944336
96,96000,67.10230255126953,67.10230255126953
